00425,00446,00000,00512
00436,00458,00000,00512
00447,00471,00000,00512
00457,00484,00000,00512
00466,00495,00000,00512
00485,00504,00000,00512
00500,00509,00000,00512
00512,00512,00512,00512
00512,00512,00512,00512
00512,00510,00512,00512
00512,00505,00512,00512
00512,00497,00512,00512
00512,00484,00512,00512
00503,00467,00512,00512
00488,00446,00512,00512
00470,00422,00512,00512
00449,00397,00512,00512
00425,00369,00512,00512
00399,00340,00512,00512
00371,00310,00512,00512
00341,00280,00512,00512
00311,00251,00512,00512
00280,00222,00512,00512
00250,00195,00512,00512
00221,00170,00512,00512
00194,00147,00512,00512
00168,00127,00512,00512
00145,00109,00512,00512
00125,00094,00512,00512
00107,00081,00512,00512
00091,00072,00512,00512
00078,00066,00512,00512
00069,00064,00512,00512
00063,00065,00512,00512
00061,00069,00512,00512
00061,00076,00512,00512
00066,00087,00512,00512
00074,00101,00512,00512
00084,00118,00512,00512
00099,00138,00512,00512
00116,00159,00512,00512
00136,00183,00512,00512
00158,00208,00512,00512
00182,00235,00512,00512
00207,00262,00512,00512
00234,00290,00512,00512
00262,00319,00512,00512
00290,00347,00512,00512
00319,00375,00512,00512
00348,00402,00512,00512
00376,00427,00512,00512
00404,00450,00512,00512
00430,00471,00512,00512
00453,00487,00512,00512
00474,00499,00512,00512
00492,00506,00512,00512
00506,00510,00512,00512
00512,00512,00512,00512
00512,00511,00512,00512
00512,00508,00512,00512
00512,00501,00512,00512
00512,00491,00512,00512
00509,00476,00512,00512
00496,00457,00512,00512
00480,00435,00512,00512
00461,00410,00512,00512
00438,00384,00512,00512
00413,00355,00512,00512
00385,00326,00512,00512
00357,00296,00512,00512
00327,00266,00512,00512
00296,00237,00512,00512
00266,00209,00512,00512
00236,00182,00512,00512
00207,00158,00512,00512
00180,00136,00512,00512
00156,00117,00512,00512
00134,00101,00512,00512
00115,00087,00512,00512
00098,00076,00512,00512
00084,00069,00512,00512
00074,00065,00512,00512
00066,00064,00512,00512
00061,00066,00512,00512
00061,00072,00512,00512
00063,00081,00512,00512
00069,00093,00512,00512
00078,00109,00512,00512
00091,00127,00512,00512
00106,00148,00512,00512
00125,00170,00512,00512
00146,00195,00512,00512
00169,00221,00512,00512
00194,00247,00512,00512
00220,00275,00512,00512
00247,00303,00512,00512
00275,00332,00512,00512
00303,00360,00512,00512
00332,00387,00512,00512
00361,00413,00512,00512
00389,00437,00512,00512
00415,00459,00512,00512
00440,00478,00512,00512
00462,00492,00512,00512
00481,00502,00512,00512
00498,00508,00512,00512
00510,00511,00512,00512
00512,00512,00512,00512
00512,00510,00512,00512
00512,00506,00512,00512
00512,00498,00512,00512
00512,00486,00512,00512
00504,00469,00512,00512
00490,00449,00512,00512
00473,00426,00512,00512
00452,00400,00512,00512
00428,00373,00512,00512
00402,00344,00512,00512
00375,00315,00512,00512
00346,00285,00512,00512
00316,00255,00512,00512
00285,00227,00512,00512
00255,00200,00512,00512
00225,00174,00512,00512
00198,00151,00512,00512
00173,00130,00512,00512
00149,00112,00512,00512
00128,00096,00512,00512
00109,00083,00512,00512
00094,00074,00512,00512
00080,00067,00512,00512
00071,00064,00512,00512
00064,00064,00512,00512
00061,00068,00512,00512
00061,00074,00512,00512
00065,00085,00512,00512
00071,00098,00512,00512
00082,00114,00512,00512
00095,00133,00512,00512
00112,00154,00512,00512
00131,00177,00512,00512
00152,00201,00512,00512
00175,00227,00512,00512
00200,00254,00512,00512
00227,00282,00512,00512
00254,00310,00512,00512
00282,00338,00512,00512
00310,00366,00512,00512
00339,00393,00512,00512
00367,00419,00512,00512
00395,00443,00512,00512
00422,00464,00512,00512
00446,00482,00512,00512
00468,00496,00512,00512
00486,00504,00512,00512
00502,00510,00512,00512
00512,00512,00512,00512
00512,00512,00512,00512
00512,00509,00512,00512
00512,00504,00512,00512
00512,00495,00512,00512
00512,00482,00512,00512
00501,00465,00512,00512
00486,00444,00512,00512
00468,00420,00512,00512
00447,00394,00512,00512
00423,00367,00512,00512
00397,00338,00512,00512
00368,00308,00512,00512
00339,00278,00512,00512
00308,00249,00512,00512
00278,00220,00512,00512
00248,00194,00512,00512
00219,00169,00512,00512
00192,00146,00512,00512
00167,00126,00512,00512
00144,00108,00512,00512
00123,00093,00512,00512
00106,00081,00512,00512
00090,00072,00512,00512
00078,00066,00512,00512
00069,00064,00512,00512
00063,00065,00512,00512
00061,00069,00512,00512
00062,00077,00512,00512
00066,00088,00512,00512
00074,00102,00512,00512
00085,00119,00512,00512
00099,00138,00512,00512
00117,00160,00512,00512
00136,00183,00512,00512
00158,00208,00512,00512
00182,00235,00512,00512
00207,00262,00512,00512
00234,00290,00512,00512
00262,00318,00512,00512
00290,00347,00512,00512
00319,00375,00512,00512
00347,00402,00512,00512
00376,00427,00512,00512
00404,00450,00512,00512
00430,00471,00512,00512
00454,00487,00512,00512
00474,00499,00512,00512
00492,00506,00512,00512
00506,00510,00512,00512
00512,00512,00512,00512
00512,00511,00512,00512
00512,00508,00512,00512
00512,00501,00512,00512
00512,00491,00512,00512
00509,00476,00512,00512
00496,00457,00512,00512
00480,00435,00512,00512
00461,00411,00512,00512
00438,00384,00512,00512
00413,00356,00512,00512
00386,00326,00512,00512
00357,00296,00512,00512
00328,00266,00512,00512
00297,00237,00512,00512
00266,00209,00512,00512
00236,00183,00512,00512
00207,00159,00512,00512
00181,00137,00512,00512
00157,00117,00512,00512
00135,00101,00512,00512
00115,00087,00512,00512
00098,00076,00512,00512
00084,00069,00512,00512
00073,00065,00512,00512
00066,00064,00512,00512
00062,00066,00512,00512
00061,00072,00512,00512
00063,00081,00512,00512
00069,00094,00512,00512
00079,00110,00512,00512
00091,00128,00512,00512
00107,00149,00512,00512
00126,00171,00512,00512
00147,00196,00512,00512
00170,00222,00512,00512
00195,00248,00512,00512
00221,00276,00512,00512
00248,00304,00512,00512
00276,00332,00512,00512
00304,00360,00512,00512
00333,00388,00512,00512
00361,00414,00512,00512
00389,00438,00000,00512
00416,00460,00000,00512
00441,00478,00000,00512
00463,00000,00000,00512
00482,00000,00000,00512
00498,00000,00000,00512
00510,00000,00000,00512
